"CU_Number","CYCLE_DATE","JOIN_NUMBER","ACCT_AS0001","ACCT_AS0003","ACCT_AS0004","ACCT_AS0005","ACCT_AS0010","ACCT_AS0041","ACCT_AS0048","ACCT_AS0050","ACCT_AS0051","ACCT_AS0052","ACCT_AS0053","ACCT_AS0054","ACCT_AS0055","ACCT_AS0056","ACCT_AS0057","ACCT_AS0058","ACCT_AS0059","ACCT_AS0060","ACCT_AS0061","ACCT_AS0062","ACCT_AS0063","ACCT_AS0064","ACCT_AS0065","ACCT_AS0066","ACCT_AS0067","ACCT_AS0068","ACCT_AS0069","ACCT_AS0070","ACCT_AS0071","ACCT_AS0072","ACCT_AS0073","ACCT_DL0121","ACCT_EQ0009","ACCT_IS0004","ACCT_IS0011","ACCT_IS0012","ACCT_IS0013","ACCT_IS0016","ACCT_IS0017","ACCT_IS0021","ACCT_IS0022","ACCT_LC0047","ACCT_LC0085","ACCT_LI0003","ACCT_LI0069","ACCT_LN0050","ACCT_LN0051","ACCT_LN0052","ACCT_LN0053","ACCT_LN0054","ACCT_LN0055","ACCT_LN0056","ACCT_LN0057","ACCT_NW0001","ACCT_NW0002","ACCT_NW0010","ACCT_PC0001","ACCT_PC0002","ACCT_PC0003","ACCT_PC0004","ACCT_PC0005","ACCT_PC0006","ACCT_PC0007","ACCT_PC0008","ACCT_PC0009","ACCT_PC0010","ACCT_SL0003","ACCT_IS0020","ACCT_IS0026","ACCT_IS0046","ACCT_IS0047","ACCT_SL0012","ACCT_SL0013","ACCT_SL0014","ACCT_SL0015","ACCT_SL0016","ACCT_SL0017","ACCT_AS0042"
67963,9/30/2025 0:00:00,22961,0,0,89125,0,1,0,76065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13798741,0,0,0,0,0,0,0,0,03/01/2023,60121,16524857,0,0,0,0,0,0,0,0,0,0,0,76582,0,0,0,0,0,0,0,0,0,0
67965,9/30/2025 0:00:00,24322,0,0,350,0,1,0,15709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-20179,0,0,0,-20179,0,0,0,0,0,824157,0,0,0,0,0,0,0,0,06/01/2023,16156,1177478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67970,9/30/2025 0:00:00,23858,0,3561797,3935961,734791,1,0,2950498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8981282,17827808,11754111,0,0,38563201,0,0,0,1527688,0,0,0,1527688,0,0,0,0,0,270688704,0,0,0,0,0,0,0,0,01/01/2023,399801,299532388,0,0,0,0,0,0,0,0,0,0,0,2103300,0,0,0,0,0,0,0,0,0,0
67971,9/30/2025 0:00:00,24027,0,0,24876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8519785,0,0,0,0,0,0,0,0,,0,11548004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67972,9/30/2025 0:00:00,23977,0,0,2159552,0,1,0,5708457,0,0,0,0,0,0,0,0,0,0,0,0,2476251,14359027,10890080,1321147,0,29046505,0,0,0,0,0,0,0,-625556,0,2655000,0,0,-5000,2650000,0,0,0,0,90000,588140624,0,0,0,0,0,0,0,0,10/01/2023,173561,653795823,0,0,0,0,0,0,0,0,0,0,0,2465619,0,0,0,0,0,0,0,0,0,0
67974,9/30/2025 0:00:00,23003,0,11605470,2046957,37034,1,0,937658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2496000,1069539,4395241,7056341,4767018,19784139,0,0,0,659113,0,0,0,659113,0,0,0,0,0,146508325,0,0,0,0,0,0,0,0,09/01/2023,0,161539616,0,0,0,0,0,0,0,0,0,0,0,1344457,0,0,0,0,0,0,0,0,0,0
67976,9/30/2025 0:00:00,23956,0,0,1114182,47158,1,0,61530,0,0,0,0,0,0,0,0,0,0,0,0,1284517,243293,450177,0,0,1977987,0,0,0,0,0,0,0,-23825,0,53000,0,0,0,53000,0,0,0,0,0,14837582,0,0,0,0,0,0,0,0,Fiscal Year 2022,52500,16564848,0,0,0,0,0,0,0,0,0,0,0,11602,0,0,0,0,0,0,0,0,0,0
67979,9/30/2025 0:00:00,23953,0,0,307096,19519,1,0,250234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116614,0,0,0,116614,0,0,0,0,0,34137400,0,0,0,0,0,0,0,0,01/01/2023,50555,38513502,0,0,0,0,0,0,0,0,0,0,0,218560,0,0,0,0,0,0,0,0,0,0
67982,9/30/2025 0:00:00,23992,0,6745357,6319102,0,1,0,3531763,0,0,0,0,0,0,0,0,0,0,0,0,9918700,15907610,13073530,0,0,38899840,2480000,3968000,1240000,0,0,7688000,0,83772,0,1495356,0,0,0,1495356,0,0,0,0,0,303661555,0,0,0,0,0,0,0,0,01/01/2023,1129761,338431191,0,0,0,0,0,0,0,0,0,0,0,2460920,0,0,0,0,0,0,0,0,0,0
67993,9/30/2025 0:00:00,5429,0,5200000,5178095,0,1,0,2045779,0,0,0,0,0,0,0,0,0,0,0,0,2544132,0,0,14946094,5053396,22543622,7,0,0,0,0,7,0,191281,0,709913,0,0,0,709913,0,0,0,0,0,358017172,0,0,0,0,0,0,0,0,01/01/2023,687936,395091179,0,0,0,0,0,0,0,0,0,0,0,4302165,0,0,0,0,0,0,0,0,0,0
67995,9/30/2025 0:00:00,22431,0,0,2022418,0,1,0,612306,0,0,0,0,0,0,0,0,0,0,0,0,3526769,5519150,2765516,3375040,0,15186475,0,0,890436,0,0,890436,0,-999399,0,499432,0,0,0,499432,0,0,0,0,0,106761815,0,0,0,0,0,0,0,0,01/01/2023,0,123741078,0,0,0,0,0,0,0,0,0,0,0,56301,0,5300,0,0,0,0,0,0,0,0
68005,9/30/2025 0:00:00,22765,0,0,1147368,0,1,0,80000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65051,10525968,2753221,0,0,13344240,0,0,0,13444,0,0,0,13444,0,0,0,0,0,65899106,0,0,0,0,0,0,0,0,01/01/2023,20000,73452597,0,0,0,0,0,0,0,0,0,0,0,9059,0,0,0,0,0,0,0,0,0,0
68008,9/30/2025 0:00:00,23062,0,0,80357,0,1,0,138259,0,0,0,0,0,0,0,0,0,0,0,0,2091495,3522718,1009778,0,0,6623991,0,0,0,0,0,0,0,7169,0,90948,0,0,0,90948,0,0,0,0,0,41941516,0,0,0,0,0,0,0,0,06/01/2023,0,48338175,0,0,0,0,0,0,0,0,0,0,0,120336,0,0,0,0,0,0,0,0,0,0
68010,9/30/2025 0:00:00,22903,0,0,144378,0,1,0,11661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3472000,2728000,496000,0,0,6696000,0,0,0,7004,0,0,0,7004,0,0,0,0,0,11997577,0,0,0,0,0,0,0,0,03/01/2023,10891,14325773,0,0,0,0,0,0,0,0,0,0,0,19324,0,0,0,0,0,0,0,0,0,0
68011,9/30/2025 0:00:00,22836,0,0,497957,0,1,0,102808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1591000,850000,0,0,0,2441000,0,0,0,69901,0,0,0,69901,0,0,0,0,0,18558888,0,0,0,0,0,0,0,0,12/01/2023,0,20489403,0,0,0,0,0,0,0,0,0,0,0,69580,0,0,0,0,0,0,0,0,0,0
