"CU_NUMBER","Cycle_date","join_number","USER_ID","ACCT_AS0007","ACCT_AS0008","ACCT_AS0009","ACCT_AS0013","ACCT_AS0016","ACCT_AS0017","ACCT_AS0022","ACCT_AS0023","ACCT_AS0024","ACCT_AS0025","ACCT_AS0032","ACCT_AS0036","ACCT_CM0099","ACCT_CH0007","ACCT_CH0008","ACCT_CH0015","ACCT_CH0016","ACCT_CH0017","ACCT_CH0018","ACCT_CH0019","ACCT_CH0020","ACCT_CH0021","ACCT_CH0022","ACCT_CH0023","ACCT_CH0024","ACCT_CH0025","ACCT_CH0026","ACCT_CH0027","ACCT_CH0028","ACCT_CH0029","ACCT_CH0030","ACCT_CH0031","ACCT_CH0032","ACCT_CH0033","ACCT_CH0034","ACCT_CH0035","ACCT_CH0036","ACCT_CH0037","ACCT_CH0038","ACCT_CH0039","ACCT_CH0040","ACCT_CH0047","ACCT_CH0048","ACCT_DL0002","ACCT_DL0009","ACCT_DL0016","ACCT_DL0022","ACCT_DL0023","ACCT_DL0024","ACCT_DL0025","ACCT_DL0026","ACCT_DL0027","ACCT_DL0028","ACCT_DL0030","ACCT_DL0037","ACCT_DL0044","ACCT_DL0050","ACCT_DL0051","ACCT_DL0052","ACCT_DL0053","ACCT_DL0054","ACCT_DL0055","ACCT_DL0056","ACCT_DL0057","ACCT_DL0058","ACCT_DL0059","ACCT_DL0060","ACCT_DL0061","ACCT_DL0062","ACCT_DL0063","ACCT_DL0064","ACCT_DL0065","ACCT_DL0066","ACCT_DL0067","ACCT_DL0068","ACCT_DL0069","ACCT_DL0070","ACCT_DL0071","ACCT_DL0072","ACCT_DL0073","ACCT_DL0074","ACCT_DL0075","ACCT_DL0076","ACCT_DL0077","ACCT_DL0078","ACCT_DL0079","ACCT_DL0080","ACCT_DL0081","ACCT_DL0082","ACCT_DL0083","ACCT_DL0084","ACCT_DL0085","ACCT_DL0086","ACCT_DL0087","ACCT_DL0088","ACCT_DL0089","ACCT_DL0090","ACCT_DL0091","ACCT_DL0092","ACCT_DL0093","ACCT_DL0094","ACCT_DL0095","ACCT_DL0096","ACCT_DL0097","ACCT_DL0098","ACCT_DL0099","ACCT_DL0100","ACCT_DL0101","ACCT_DL0102","ACCT_DL0103","ACCT_DL0104","ACCT_DL0105","ACCT_DL0106","ACCT_DL0107","ACCT_DL0108","ACCT_DL0109","ACCT_DL0110","ACCT_DL0111","ACCT_DL0112","ACCT_DL0113","ACCT_DL0114","ACCT_DL0115","ACCT_DL0116","ACCT_DL0117","ACCT_DL0118","ACCT_DL0119","ACCT_DL0120","ACCT_DL0122","ACCT_DL0123","ACCT_DL0124","ACCT_DL0125","ACCT_DL0126","ACCT_DL0127","ACCT_DL0128","ACCT_DL0129","ACCT_DL0130","ACCT_DL0131","ACCT_DL0132","ACCT_DL0133","ACCT_DL0134","ACCT_DL0135","ACCT_DL0136","ACCT_DL0137","ACCT_DL0138","ACCT_DL0139","ACCT_DL0140","ACCT_DL0141","ACCT_DL0142","ACCT_DL0144","ACCT_DL0145","ACCT_DL0146","ACCT_DL0147","ACCT_DT0001","ACCT_DT0002","ACCT_DT0003","ACCT_DT0004","ACCT_DT0005","ACCT_DT0006","ACCT_DT0007","ACCT_DT0008","ACCT_DT0009","ACCT_DT0010","ACCT_DT0011","ACCT_DT0012","ACCT_DT0013","ACCT_DT0014","ACCT_DT0015","ACCT_DT0016","ACCT_IN0001","ACCT_IN0002","ACCT_IN0003","ACCT_IN0004","ACCT_IN0005","ACCT_IN0006","ACCT_IN0007","ACCT_IN0008","ACCT_IS0005","ACCT_IS0010","ACCT_IS0029","ACCT_IS0030","ACCT_LQ0013","ACCT_LQ0014","ACCT_LQ0015","ACCT_LQ0016","ACCT_LQ0017","ACCT_IS0048","ACCT_IS0049","ACCT_DL0148","ACCT_DL0149"
67341,9/30/2025 0:00:00,22595,Subm,0,0,1706882,2921000,0,60895,0,0,0,0,0,75772,0,2893,1055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18744,1604,41728,12066,0,55398,12,14821,94077,0,8213,44223,83665,22705,0,150593,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154725,0,0,304682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,474144,0,0,0,0,0,0,0,0,0,0,0
67342,9/30/2025 0:00:00,22590,Subm,0,0,5489894,12095180,78501,545851,0,0,85891,0,0,2126967,0,31772,10849,135854,2309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16395,0,0,13841,10883,13294,0,0,24177,6,7903,106627,0,19204,0,19912,2623,0,22535,2,0,0,47233,0,0,47233,1,32104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141808,179542,0,48788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3060739,0,0,0,0,0,0,0,0,0,0,0
67344,9/30/2025 0:00:00,22624,Subm,0,0,59562318,174656413,10376968,11843750,0,0,51535,0,0,21118982,63518706,326796,123816,0,0,0,0,0,0,27421,800,0,0,0,0,0,0,0,0,0,0,0,0,0,66270,0,0,0,0,11077,95519,0,0,0,72204,20245,19037,0,0,39282,19,0,467847,0,12555,832,0,0,0,832,1,515977,30196,0,138609,0,168805,3,249046,47604,0,0,0,47604,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,326701,0,2329527,2656228,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,566724,3264003,0,641564,2656228,0,0,0,0,0,10000000,-81689,0,0,0,0,0,0,0,0,0,0,1485,36029730,0,0,0,0,4,97807,0,15537937,0,0,9604961,38285,15666167,601963,16306415,0,0,0,0
67347,9/30/2025 0:00:00,22496,Subm,0,0,38353592,43669565,2773000,3975990,0,0,46247,0,0,18386549,428691686,851018,214707,0,0,0,0,0,0,0,2209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37212,0,0,0,0,0,443658,0,0,219433,57757,89226,0,0,146983,38,8461,135541,0,0,0,7773,0,0,7773,1,1640881,0,82676,484976,0,567652,3,1464460,779287,503744,1188593,147073,2618697,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1424704,24654,0,3629689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25271683,0,0,128022409,628120,91525737,63826,92217683,0,0,127,19843
67348,9/30/2025 0:00:00,22498,Subm,980000,0,63087857,59773049,681700,907736,0,0,0,0,5831,5723108,0,77126,15680,0,0,0,1400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66747,0,0,71679,19825,28415,0,0,48240,8,0,0,0,0,0,0,0,0,0,0,0,0,161231,0,0,161231,1,93824,20615,0,196750,0,217365,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107187,161231,0,413006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13403,0,0,0,0,0,0,0,4566499,0,0,0,0,0,0,0,0,0,0,0
67349,9/30/2025 0:00:00,22541,Subm,0,0,14824293,12779074,243600,243600,0,0,0,0,0,1545593,3198134,48498,23603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,909,0,0,0,0,0,0,0,10302,0,34669,0,0,0,0,0,0,0,0,0,0,0,0,0,264306,12219,0,0,0,12219,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,479366,0,0,479366,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22521,507950,0,12564,479366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70558,4641106,0,0,0,0,0,0,0,2975881,-19905,0,0,0,0,0,0,0,0,0,0
67352,9/30/2025 0:00:00,24252,Subm,1516835,0,215524024,95023190,60996800,61496800,0,0,16638,0,0,16338254,206776309,355319,157788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17275,0,0,0,0,0,0,0,73031,0,0,37141,25100,33735,0,0,58835,46,18090,60732,0,0,1114,0,0,0,1114,1,197730,1238887,696550,101380,844114,2880931,12,140641,0,8507,0,0,8507,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54877,0,54877,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1416954,79087,0,6483548,54877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5680,95895898,0,0,0,0,0,0,0,34750016,82330,0,183626439,0,740600,0,740600,0,0,2,54877
67354,9/30/2025 0:00:00,23770,Subm,6750000,0,7091135,0,0,222786,0,0,0,0,0,926572,0,10589,720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18158,12716,0,0,30874,6,22922,131599,0,0,17363,0,0,0,17363,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,663613,0,0,0,0,0,0,0,0,0,0,0
67364,9/30/2025 0:00:00,21789,Subm,6648000,0,10148606,0,0,10043,0,0,78425,0,0,125236,0,39151,1721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3208,0,0,39176,13563,35595,420,0,49578,22,7830,271425,0,158644,12858,0,0,0,12858,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,308884,0,0,277746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,965087,0,0,0,0,0,0,0,0,0,0,0
67367,9/30/2025 0:00:00,21824,Subm,20980000,0,39083938,14504416,0,97786,0,0,2600,0,0,8449237,0,123532,41493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6220,0,0,20652,4193,8811,0,0,13004,7,10313,94076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12770,0,0,12770,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114802,14899,0,162463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3373772,0,0,0,0,0,0,0,0,0,0,0
