"CU_NUMBER","CYCLE_DATE","JOIN_NUMBER","ACCT_811B3","ACCT_811B4","ACCT_811B5","ACCT_811C3","ACCT_811C4","ACCT_811C5","ACCT_811D","ACCT_811D1","ACCT_811D2","ACCT_811E","ACCT_811E1","ACCT_811E2","ACCT_812A1","ACCT_812B1","ACCT_812C","ACCT_813A1","ACCT_813A2","ACCT_813B1","ACCT_814A6","ACCT_814A7","ACCT_814A8","ACCT_814J3","ACCT_814J4","ACCT_814J5","ACCT_814K","ACCT_814K1","ACCT_814K2","ACCT_815A1","ACCT_815B1","ACCT_815C","ACCT_816B3","ACCT_816B4","ACCT_816B5","ACCT_816T","ACCT_816T1","ACCT_816T2","ACCT_822A1","ACCT_822B1","ACCT_822C","ACCT_900A1","ACCT_900B1","ACCT_900C5","ACCT_900C6","ACCT_900C7","ACCT_900C8","ACCT_900H2","ACCT_900H3","ACCT_900J2","ACCT_900J3","ACCT_900K2","ACCT_900K3","ACCT_900K4","ACCT_900L2","ACCT_900L3","ACCT_900M","ACCT_900M1","ACCT_900P","ACCT_900T1","ACCT_959A","ACCT_960A","ACCT_960B","ACCT_961A5","ACCT_961A6","ACCT_961A7","ACCT_961A8","ACCT_961A9","ACCT_963C"
4633,9/30/2025 0:00:00,2030,0,0,0,0,0,0,7774584,0,0,0,0,0,0,0,12259182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1055358,0,0,7330982,32148351,0,0,0,0,3728245,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,442,149,0,0,0,0,0,0,35
4684,9/30/2025 0:00:00,2044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3372256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,961731,0,0,46427,4723018,0,0,0,0,342604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,3,0,0,0,0,0,0,65
4708,9/30/2025 0:00:00,2054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2059668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,510330,0,0,0,2569998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,332,0,0,0,0,0,0,0,25
4714,9/30/2025 0:00:00,2057,0,0,0,0,0,0,7436205,0,0,0,0,0,0,0,25498905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159013,0,0,0,35372370,0,0,0,0,2278247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,271,7,383,0,0,0,0,0,1117
4726,9/30/2025 0:00:00,2062,0,0,0,0,0,0,3512695,0,0,0,0,0,0,0,3049086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59843,0,0,0,7737777,0,0,0,0,1116153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,97,113,0,0,0,0,0,60
4731,9/30/2025 0:00:00,2065,0,0,0,0,0,0,3180049,0,0,0,0,0,0,0,8215985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11396034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,379,0,0,0,0,0,0,96
4735,9/30/2025 0:00:00,2066,0,0,0,0,0,0,2846854879,0,0,0,0,0,0,0,498195892,0,0,0,0,0,0,0,0,0,2131601,0,0,0,0,74381395,0,0,70099498,3635743582,0,0,0,0,146211918,524,8,0,31,0,0,48,0,251,7,441,8,449,52,0,141,1,83,532,13346,28570,1,0,0,0,0,0,5310
4746,9/30/2025 0:00:00,2072,0,0,0,0,0,0,24818984,0,0,0,0,0,0,0,3350793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54869,0,0,0,30358882,0,0,0,0,2134236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,852,445,0,0,0,0,0,0,103
4756,9/30/2025 0:00:00,2075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,429721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,429721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
4787,9/30/2025 0:00:00,2080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,697661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62284,0,0,257617,1129371,0,0,0,0,111809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,5,0,0,0,0,0,0,75
4792,9/30/2025 0:00:00,2083,0,0,0,0,0,0,18909271,0,0,0,0,0,0,0,9448008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3377647,38885596,0,0,0,0,7150670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,723,648,0,0,0,0,0,0,453
4799,9/30/2025 0:00:00,2087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117085,0,0,0,0,117085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,125
4805,9/30/2025 0:00:00,2089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,15,0,0,0,0,0,0,56
4809,9/30/2025 0:00:00,2091,0,0,0,0,0,0,1085695,0,0,0,0,0,0,0,1589392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98735,0,0,0,2773822,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,5,9,46,0,0,0,0,0,0,2
4828,9/30/2025 0:00:00,2094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1365615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1365615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,51,0,0,0,0,0,0,51
4845,9/30/2025 0:00:00,2099,0,0,0,0,0,0,157698,0,0,0,0,0,0,0,967649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1125347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,68,0,0,0,0,0,0,59
4853,9/30/2025 0:00:00,2102,0,0,0,0,0,0,3170385,0,0,0,0,0,0,0,5700892,0,0,0,0,0,0,0,0,0,458809,0,0,0,0,2930685,0,0,106952,14978011,0,0,0,0,3069097,5,12,0,0,0,0,3,4,2,6,5,12,17,0,0,0,0,0,17,195,235,3,0,0,1,0,1,482
4871,9/30/2025 0:00:00,2109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4878,9/30/2025 0:00:00,2110,0,0,0,0,0,0,2211806,0,0,0,0,0,0,0,23968177,0,0,0,0,0,0,0,0,0,28466,0,0,0,0,804018,0,0,2203383,37613485,0,0,0,0,8426101,11,0,0,3,0,0,5,0,0,0,5,0,5,3,0,0,0,6,11,289,304,0,0,0,0,0,0,271
4884,9/30/2025 0:00:00,2114,0,0,0,0,0,0,299482,0,0,0,0,0,0,0,2011412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3141179,0,0,0,0,830285,8,0,6,0,0,0,0,0,0,0,2,0,2,0,0,0,0,6,8,47,54,0,2,0,0,0,2,130
4894,9/30/2025 0:00:00,2119,0,0,0,0,0,0,92118,0,0,0,0,0,0,0,286437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,378555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,3,0,0,0,0,0,0,42
4906,9/30/2025 0:00:00,2122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4915,9/30/2025 0:00:00,2123,0,0,0,0,0,0,1508227,0,0,0,0,0,0,0,9073570,0,0,0,0,0,0,0,0,0,17576480,0,0,0,0,3795505,0,0,0,20548144,0,0,0,0,6170842,134,25,1,0,0,0,27,3,59,17,108,25,131,25,0,7,4,26,159,437,74,0,0,0,1,0,1,930
4936,9/30/2025 0:00:00,2130,0,0,0,0,0,0,498257,0,0,0,0,0,0,0,1709786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,414657,2622700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,16,0,0,0,0,0,0,126
4951,9/30/2025 0:00:00,2137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1617985,0,0,0,0,81367,0,0,1092268,1173635,0,0,0,0,0,119,4,0,0,0,0,3,3,0,0,21,4,25,40,0,0,1,98,123,68,6,23,18,58,0,0,76,418
4960,9/30/2025 0:00:00,2139,0,0,0,0,0,0,3652235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8319161,0,0,0,0,1678732,0,0,5046595,10377562,0,0,0,0,0,339,0,0,0,0,0,0,0,41,0,89,0,89,111,0,0,0,250,339,718,40,43,48,139,0,0,187,903
4963,9/30/2025 0:00:00,2141,0,0,0,0,0,0,3998932,0,0,0,0,0,0,0,854657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111523,0,0,110256,8776144,0,0,0,0,3700776,0,6,0,0,0,0,0,6,0,0,0,6,6,0,0,0,0,0,6,239,506,0,0,0,0,0,0,58
4966,9/30/2025 0:00:00,2143,0,0,0,0,0,0,712093,0,0,0,0,0,0,0,9306000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10993422,0,0,0,0,975329,0,3,0,0,0,0,0,1,0,2,0,3,3,0,0,0,0,0,3,200,292,0,0,0,0,0,0,61
4968,9/30/2025 0:00:00,2144,0,0,0,0,0,0,22391312,0,0,0,0,0,0,0,54371405,0,0,0,0,0,0,0,0,0,6013143,0,0,0,0,4765786,0,0,380000,84384811,0,0,0,0,2476308,102,16,0,0,0,0,12,8,55,4,69,16,85,33,0,1,2,33,118,1757,1255,21,0,0,0,0,0,155
4969,9/30/2025 0:00:00,2145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1673451,0,0,0,0,0,0,0,0,0,16155,0,0,0,0,0,0,0,0,2110551,0,0,0,0,437100,27,0,3,2,0,0,3,0,4,0,11,0,10,11,0,4,0,16,27,122,81,8,0,0,0,0,0,202
4982,9/30/2025 0:00:00,2152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2260223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2976242,0,0,0,0,716019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,23,0,0,0,0,0,0,67
5028,9/30/2025 0:00:00,2165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5029,9/30/2025 0:00:00,2166,0,0,0,0,0,0,10086787,0,0,0,0,0,0,0,50672317,0,0,0,0,0,0,0,0,0,23535267,0,0,0,0,8475501,0,0,4080607,75137388,0,0,0,0,1822176,317,20,72,0,0,0,65,9,48,3,208,17,225,37,3,71,4,112,337,2252,389,277,12,0,0,0,12,7986
5045,9/30/2025 0:00:00,2172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,487437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,487437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
5062,9/30/2025 0:00:00,2179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,31
5063,9/30/2025 0:00:00,2180,0,0,0,0,0,0,328146,0,0,0,0,0,0,0,1731905,0,0,0,0,0,0,0,0,0,2328515,0,0,0,0,26582,0,0,278858,2365491,0,0,0,0,0,276,2,0,0,0,0,11,0,9,0,91,1,92,51,1,21,0,186,278,140,0,0,50,134,0,0,184,58
5086,9/30/2025 0:00:00,2184,0,0,0,0,0,0,5309472,0,0,0,0,0,0,0,7502181,0,0,0,0,0,0,0,0,0,6430057,0,0,0,0,0,0,0,4710427,17895212,0,0,0,0,373132,98,14,1,1,0,0,7,7,25,6,82,13,95,14,1,46,0,17,112,1440,179,13,0,0,0,0,0,1205
5116,9/30/2025 0:00:00,2194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,984156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81081,0,0,0,1763517,0,0,0,0,698280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,85
5123,9/30/2025 0:00:00,2197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1048993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1048993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,14,0,0,0,0,0,0,10
5127,9/30/2025 0:00:00,2199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5134,9/30/2025 0:00:00,2201,0,0,0,0,0,0,36057237,0,0,0,0,0,0,0,63848220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16922106,0,0,0,125472463,0,0,0,0,8644900,0,9,0,0,0,0,0,0,0,9,0,9,9,0,0,0,0,0,9,922,850,0,0,0,0,0,0,135
5144,9/30/2025 0:00:00,2202,0,0,0,0,0,0,2896546,0,0,0,0,0,0,0,667564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70788,3634898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,76,0,0,0,0,0,0,101
5163,9/30/2025 0:00:00,2213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
5168,9/30/2025 0:00:00,2214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4977816,0,0,0,11826689,0,0,0,0,6848873,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,0,2,331,562,0,0,0,0,0,0,391
5170,9/30/2025 0:00:00,2215,0,0,0,0,0,0,53910,0,0,0,0,0,0,0,803976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93590,0,0,42327,993803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,13,0,0,0,0,0,0,5
5234,9/30/2025 0:00:00,2241,0,0,0,0,0,0,16813260,0,0,0,0,0,0,0,31112822,0,0,0,0,0,0,0,0,0,1253465,0,0,0,0,2023,0,0,0,51761188,0,0,0,0,3833083,221,2,0,1,0,0,43,0,33,2,102,2,104,118,0,20,0,118,223,971,421,0,4,0,0,0,4,366
5241,9/30/2025 0:00:00,2245,0,0,0,0,0,0,1476304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191520,0,0,0,0,0,0,0,0,3523242,0,0,0,0,2046938,25,0,0,0,0,0,0,0,12,0,12,0,12,13,0,0,0,13,25,329,7,6,0,0,0,0,0,179
5252,9/30/2025 0:00:00,2248,0,0,0,0,0,0,3513702,0,0,0,0,0,0,0,6178039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,538433,0,0,8916,11480938,0,0,0,0,1241848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205,233,0,0,0,0,0,0,71
5256,9/30/2025 0:00:00,2251,0,0,0,0,0,0,2861502,0,0,0,0,0,0,0,1773425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23964,0,0,34671,4693562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,75,0,0,0,0,0,0,5
5257,9/30/2025 0:00:00,2252,0,0,0,0,0,0,5347004,0,0,0,0,0,0,0,6728580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15051308,0,0,0,0,2975724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,440,0,0,0,0,0,0,224
5272,9/30/2025 0:00:00,2260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77
5286,9/30/2025 0:00:00,2265,0,0,0,0,0,0,126383,0,0,0,0,0,0,0,1525313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113599,0,0,25000,1805799,0,0,0,0,15504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,99,0,0,0,0,0,0,40
5291,9/30/2025 0:00:00,2268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,1,3,0,0,0,3,4,76,0,0,0,0,0,0,0,128
5318,9/30/2025 0:00:00,2281,0,0,0,0,0,0,1503795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49719,0,0,0,0,0,0,0,527196,3169572,0,0,0,0,1138581,3,61,0,0,0,0,0,3,3,42,3,61,64,0,0,0,13,0,64,98,0,31,0,0,0,0,0,219
5321,9/30/2025 0:00:00,2283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
5325,9/30/2025 0:00:00,2285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165
5337,9/30/2025 0:00:00,2291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,725813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,730315,0,0,0,0,4502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,19,0,0,0,0,0,0,69
5345,9/30/2025 0:00:00,2293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4561,0,0,0,136818,0,0,0,0,132257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
5359,9/30/2025 0:00:00,2300,0,0,0,0,0,0,2544764,0,0,0,0,0,0,0,2111124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4655888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,55,0,0,0,0,0,0,7
5366,9/30/2025 0:00:00,2303,0,0,0,0,0,0,549964,0,0,0,0,0,0,0,1763647,0,0,0,0,0,0,0,0,0,124713,0,0,0,0,75775,0,0,0,3674610,0,0,0,0,1285224,23,0,10,0,0,0,13,0,0,0,13,0,13,0,0,0,0,10,23,53,48,0,0,0,0,0,0,143
5370,9/30/2025 0:00:00,2306,0,0,0,0,0,0,29276781,0,0,0,0,0,0,0,22145157,0,0,0,0,0,0,0,0,0,2069082,0,0,0,0,0,0,0,35965,54033233,0,0,0,0,2575330,77,77,0,0,0,0,19,21,19,49,41,75,116,35,2,0,1,39,154,817,1176,0,3,1,0,0,4,375
5373,9/30/2025 0:00:00,2308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1720559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2028384,0,0,0,0,307825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,27,0,0,0,0,0,0,82
5380,9/30/2025 0:00:00,2313,0,0,0,0,0,0,33841087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39401514,0,0,0,0,5560427,6,207,0,0,0,0,2,1,0,4,3,6,9,3,164,1,1,204,213,440,1337,0,0,0,0,37,37,434
5387,9/30/2025 0:00:00,2318,0,0,0,0,0,0,3754378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,852965,0,0,0,5324343,0,0,0,0,717000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,275,0,0,0,0,0,0,628
5419,9/30/2025 0:00:00,2331,0,0,0,0,0,0,16801207,0,0,0,0,0,0,0,5841124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232658,0,0,0,22874989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,238,0,0,0,0,0,0,5
5422,9/30/2025 0:00:00,2333,0,0,0,0,0,0,3041256,0,0,0,0,0,0,0,12735403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17516489,0,0,0,0,1739830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,135,0,0,0,0,0,0,156
5431,9/30/2025 0:00:00,2338,0,0,0,0,0,0,26313616,0,0,0,0,0,0,0,25319884,0,0,0,0,0,0,0,0,0,2009725,0,0,0,0,778702,0,0,3926678,56824697,0,0,0,0,485817,78,32,1,5,0,0,7,4,9,28,65,32,97,7,0,46,0,13,110,723,1269,0,0,0,0,0,0,603
5439,9/30/2025 0:00:00,2342,0,0,0,0,0,0,2677128,0,0,0,0,0,0,0,4053742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,465201,0,0,0,7196071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,145,0,0,0,0,0,0,15
5465,9/30/2025 0:00:00,2360,0,0,0,0,0,0,679178,0,0,0,0,0,0,0,3134728,0,0,0,0,0,0,0,0,0,95694,0,0,0,0,543557,0,0,0,4357463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,117,0,0,0,0,0,0,97
5484,9/30/2025 0:00:00,2369,0,0,0,0,0,0,3680037,0,0,0,0,0,0,0,351632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4450629,0,0,0,0,418960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,435,0,0,0,0,0,0,600
5487,9/30/2025 0:00:00,2371,0,0,0,0,0,0,6910483,0,0,0,0,0,0,0,3554339,0,0,0,0,0,0,0,0,0,127654,0,0,0,0,23711,0,0,114730,12125963,0,0,0,0,1522700,79,2,2,0,0,0,5,1,0,1,7,2,9,70,0,0,0,72,81,227,277,0,0,0,0,0,0,662
5495,9/30/2025 0:00:00,2376,0,0,0,0,0,0,5942936,0,0,0,0,0,0,0,25616575,0,0,0,0,0,0,0,0,0,670370,0,0,0,0,16546,0,0,0,37526535,0,0,0,0,5950478,33,69,0,0,0,0,10,19,16,29,33,68,101,0,1,5,13,1,102,314,374,17,0,0,0,0,0,94
5500,9/30/2025 0:00:00,2379,0,0,0,0,0,0,201910798,0,0,0,0,0,0,0,313722918,0,0,0,0,0,0,0,0,0,14543938,0,0,0,0,15528425,0,0,50752422,595161518,0,0,0,0,13246955,103,2,0,0,0,0,24,1,30,0,55,2,56,48,0,0,1,48,105,2519,4480,6,0,0,0,0,0,1180
5510,9/30/2025 0:00:00,2386,0,0,0,0,0,0,1362042,0,0,0,0,0,0,0,2662059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235791,0,0,0,4495683,0,0,0,0,235791,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,64,23,0,0,0,0,0,0,23
5524,9/30/2025 0:00:00,2392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
5530,9/30/2025 0:00:00,2395,0,0,0,0,0,0,8006748,0,0,0,0,0,0,0,2788973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,281698,0,0,0,12302370,0,0,0,0,1224951,2,0,0,0,0,0,0,0,2,0,2,0,2,0,0,0,0,0,2,114,190,0,0,0,0,0,0,40
5531,9/30/2025 0:00:00,2396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219
5536,9/30/2025 0:00:00,2399,0,0,0,0,0,0,4254466708,0,0,0,0,0,0,0,54994632125,0,0,0,0,0,0,0,0,0,26647129,0,0,0,0,923853472,0,0,1798826587,62338404029,0,0,0,0,366625137,984,167,26,200,0,0,71,46,106,75,221,167,388,537,0,44,22,763,1151,204948,128367,0,0,0,0,0,0,429857
5539,9/30/2025 0:00:00,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,30,0,0,0,0,0,0,3
5546,9/30/2025 0:00:00,2406,0,0,0,0,0,0,766522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210817,0,0,0,0,210664,0,0,0,977186,0,0,0,0,0,61,0,0,0,0,0,6,0,25,0,31,0,26,30,0,0,0,25,61,235,11,0,0,0,0,0,0,408
5547,9/30/2025 0:00:00,2407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8709778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3900,0,0,388249,21783481,0,0,0,0,12681554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,690,5,1,0,0,0,0,0,782
5549,9/30/2025 0:00:00,2409,0,0,0,0,0,0,4197036,0,0,0,0,0,0,0,2919006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,618554,7772404,0,0,0,0,37808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,393,62,14,0,0,0,0,0,168
5554,9/30/2025 0:00:00,2413,0,0,0,0,0,0,3819643,0,0,0,0,0,0,0,2122350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10613,0,0,0,6430649,0,0,0,0,478043,4,0,0,0,0,0,0,0,1,0,1,0,1,3,0,0,0,3,4,133,112,0,0,0,0,0,0,30
