"CU_NUMBER","Cycle_date","join_number","USER_ID","ACCT_LQ0018","ACCT_LQ0019","ACCT_LQ0020","ACCT_LQ0021","ACCT_LQ0022","ACCT_LQ0023","ACCT_LQ0024","ACCT_LQ0025","ACCT_LQ0026","ACCT_LQ0027","ACCT_LQ0028","ACCT_LQ0029","ACCT_LQ0030","ACCT_LQ0034","ACCT_LQ0035","ACCT_LQ0038","ACCT_LQ0039","ACCT_LQ0040","ACCT_LQ0042","ACCT_LQ0043","ACCT_LQ0044","ACCT_LQ0045","ACCT_LQ0046","ACCT_LQ0047","ACCT_LQ0052","ACCT_LQ0053","ACCT_LQ0056","ACCT_LQ0059","ACCT_LQ0860","ACCT_NV0001","ACCT_NV0002","ACCT_NV0003","ACCT_NV0004","ACCT_NV0013","ACCT_NV0014","ACCT_NV0015","ACCT_NV0016","ACCT_NV0017","ACCT_NV0018","ACCT_NV0019","ACCT_NV0020","ACCT_NV0021","ACCT_NV0022","ACCT_NV0023","ACCT_NV0024","ACCT_NV0025","ACCT_NV0026","ACCT_NV0027","ACCT_NV0028","ACCT_NV0029","ACCT_NV0030","ACCT_NV0031","ACCT_NV0032","ACCT_NV0033","ACCT_NV0034","ACCT_NV0035","ACCT_NV0036","ACCT_NV0037","ACCT_NV0038","ACCT_NV0039","ACCT_NV0040","ACCT_NV0041","ACCT_NV0042","ACCT_NV0043","ACCT_NV0044","ACCT_NV0045","ACCT_NV0046","ACCT_NV0047","ACCT_NV0048","ACCT_NV0049","ACCT_NV0050","ACCT_NV0051","ACCT_NV0052","ACCT_NV0053","ACCT_NV0054","ACCT_NV0055","ACCT_NV0056","ACCT_NV0057","ACCT_NV0058","ACCT_NV0059","ACCT_NV0060","ACCT_NV0061","ACCT_NV0062","ACCT_NV0063","ACCT_NV0064","ACCT_NV0065","ACCT_NV0066","ACCT_NV0067","ACCT_NV0068","ACCT_NV0069","ACCT_NV0070","ACCT_NV0071","ACCT_NV0072","ACCT_NV0073","ACCT_NV0074","ACCT_NV0075","ACCT_NV0076","ACCT_NV0077","ACCT_NV0078","ACCT_NV0079","ACCT_NV0080","ACCT_NV0081","ACCT_NV0083","ACCT_NV0084","ACCT_NV0087","ACCT_NV0088","ACCT_NV0089","ACCT_NV0090","ACCT_NV0091","ACCT_NV0092","ACCT_NV0093","ACCT_NV0094","ACCT_NV0095","ACCT_NV0096","ACCT_NV0097","ACCT_NV0098","ACCT_NV0099","ACCT_NV0100","ACCT_NV0101","ACCT_NV0102","ACCT_NV0103","ACCT_NV0104","ACCT_NV0105","ACCT_NV0106","ACCT_NV0107","ACCT_NV0108","ACCT_NV0109","ACCT_NV0110","ACCT_NV0111","ACCT_NV0112","ACCT_NV0113","ACCT_NV0114","ACCT_NV0115","ACCT_NV0116","ACCT_NV0122","ACCT_NV0128","ACCT_NV0134","ACCT_NV0140","ACCT_NV0141","ACCT_NV0142","ACCT_NV0143","ACCT_NV0144","ACCT_NV0145","ACCT_NV0146","ACCT_NV0153","ACCT_NV0154","ACCT_NV0155","ACCT_NV0156","ACCT_NV0157","ACCT_NV0158","ACCT_NV0159","ACCT_NV0160","ACCT_NV0161","ACCT_NV0162","ACCT_NV0169","ACCT_NV0170","ACCT_NV0172","ACCT_NV0173","ACCT_SL0036","ACCT_SL0037","ACCT_SL0038","ACCT_SL0039","ACCT_SL0041","ACCT_SL0043","ACCT_SL0045","ACCT_SL0047","ACCT_SL0049","ACCT_SL0051","ACCT_SL0053","ACCT_SL0055","ACCT_SL0056","ACCT_SL0057","ACCT_SL0058","ACCT_SL0059","ACCT_RB0001","ACCT_RB0002","ACCT_RB0003","ACCT_RB0004","ACCT_RB0005","ACCT_RB0006","ACCT_RB0007","ACCT_RB0008","ACCT_RB0009","ACCT_RB0010","ACCT_RB0011","ACCT_RB0012","ACCT_RB0013","ACCT_RB0014","ACCT_RB0015","ACCT_RB0016","ACCT_RB0017","ACCT_RB0018","ACCT_RB0019","ACCT_RB0020","ACCT_RB0021","ACCT_RB0022","ACCT_RB0023","ACCT_RB0024","ACCT_RB0025"
66844,9/30/2025 0:00:00,21066,Subm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161125525,0,0,28617455,0,38000000,0,0,0,250000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33730000,33520574,0,0,33730000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000000,1500000,1500000,0,0,4000000,0,0,0,33730000,0,669800,0,1515083,484917,2669800,21832000,12217800,4350000,1515083,484917,40399800,950,0,0,950,0,3570620,0,0,3994749,0,0,0,0,0,0,0,10241297,0,0,0,0,0,0,0,41635516,478000,0,0,478000,0,0,0,2553777,39559739,0,39559739,0,0,0,0,0,0,0,0,0,0,0,0,0
66847,9/30/2025 0:00:00,21069,Subm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13656940,0,29972729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,605117,589887,0,0,2576090,2481612,0,0,3181207,3071499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2241075,2130580,0,0,0,0,0,0,0,0,0,5422282,5202079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5202079,0,0,2400165,2400000,2400000,512810,7712975,1945771,3382004,4467040,2607429,512810,12915054,0,0,0,0,0,0,0,0,0,0,443349,0,0,0,0,0,0,0,0,0,0,0,9656809,0,38846146,4148448,0,0,4148448,0,0,0,2716767,40277827,0,40277827,0,0,0,0,0,0,0,0,0,0,0,0,0
66848,9/30/2025 0:00:00,21070,Subm,0,0,0,0,122602000,0,0,0,0,0,0,0,0,0,534197379,0,0,676534205,0,1051197887,0,0,0,50000000,0,50146688,0,0,275000000,0,0,70751693,70325074,0,0,15000593,14963119,0,0,303160048,297669217,0,0,318160641,312632336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2500000,2527087,0,0,0,0,0,391412334,385484497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26000000,11000000,0,0,0,37000000,0,0,385484497,0,0,30478751,0,375150,2253150,33107051,116888693,141198941,69781511,110337715,17384688,455591548,0,114502,0,114502,0,0,0,0,0,0,1663445,0,0,0,0,0,50000,0,0,9000300,0,0,0,0,375298312,20208012,0,0,20208012,0,0,0,68929421,326576903,0,326576903,0,0,0,0,0,0,0,0,0,0,0,0,0
66851,9/30/2025 0:00:00,21073,Subm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62129500,0,62400064,0,0,0,0,0,0,0,0,27000000,0,0,6581475,6249336,0,0,0,0,0,0,63288199,60625120,0,0,63288199,60625120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15805112,15743327,0,0,9200757,9212913,0,0,0,0,0,0,25005869,24956240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19997572,17994708,0,0,0,0,0,0,0,0,0,114873115,109825404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109825405,0,0,0,0,250000,4035131,4285131,33411160,19086668,15637669,37317392,8657647,114110536,0,43995,0,43995,1200000,2099353,0,0,11204899,0,0,0,0,0,0,0,4500000,0,0,0,0,0,0,0,34300037,1299943,0,0,1299943,0,0,0,2929910,32670070,0,32670070,0,0,0,0,0,0,0,0,0,0,0,0,0
66854,9/30/2025 0:00:00,21076,WISE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000000,2894705,0,0,1532750,1397374,0,0,4532750,4292079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12428000,12428000,0,0,0,0,0,0,16960750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36901,0,0,0,36901,0,0,0,16960749,0,293827,0,0,441169,734996,7956000,6772635,2562842,0,441169,17732646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15839760,363202,0,0,363202,0,0,0,736182,15466780,0,15466780,0,0,0,0,0,0,0,0,0,0,0,0,0
66856,9/30/2025 0:00:00,21078,Subm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3998538,3669965,0,0,2693911,2394858,0,0,6692449,6064823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,496000,498259,3223000,3239338,0,0,0,0,496000,9915449,9304161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9304161,496000,175081,0,0,0,0,175081,1379726,4775893,1168031,2651592,0,9975242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5558677,203550,0,0,203550,0,0,0,252530,5509697,0,5509697,0,0,0,0,0,0,0,0,0,0,0,0,0
66857,9/30/2025 0:00:00,21079,Subm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000000,0,0,0,0,1000000,0,0,0,0,0,0,0,0,5874,5874,1000000,0,0,0,5874,1005874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2386280,19225,0,0,19225,0,0,0,174188,2231317,0,2231317,0,0,0,0,0,0,0,0,0,0,0,0,0
66860,9/30/2025 0:00:00,21082,Subm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9871036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,550000,498000,0,0,0,1048000,0,0,0,0,0,54568,0,0,0,54568,550000,552568,0,0,0,1102568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1821461,326881,0,0,326881,0,0,0,72712,2075630,0,2075630,0,0,0,0,0,0,0,0,0,0,0,0,0
66862,9/30/2025 0:00:00,21084,Subm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134212,0,0,0,0,134212,134212,0,0,0,0,134212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1802866,148537,0,0,148537,0,0,0,159073,1792330,0,1792330,0,0,0,0,0,0,0,0,0,0,0,0,0
66865,9/30/2025 0:00:00,21087,Subm,0,0,0,120195998,0,0,0,0,0,0,0,0,0,0,0,0,0,510094325,0,693516284,0,0,0,0,0,0,0,0,120000000,0,0,0,0,0,0,3000000,2923320,0,0,118715310,112316986,0,0,121715310,115240306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,477896,415442,0,0,0,0,0,0,0,0,0,0,477896,415442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122193206,115655748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5469000,4478000,996000,0,0,10943000,0,0,115655748,0,25868051,0,0,99796,5064088,31031935,52636354,34981574,31220736,30949502,7842517,157630683,0,-62918,0,-62918,0,23188296,0,0,2195380,0,0,0,6463111,809358,0,0,10849772,0,4000000,0,0,0,0,0,328860716,26039537,0,0,26039537,0,0,0,30084739,324815514,0,324815514,0,141666084,111947051,29719033,0,0,115655748,18961320,96216532,0,477896,0,0
